City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Saldanha,-33.01,17.94,44.6,87,72,2.24,ZA,1600396335
136,Huilong,31.81,121.66,70.0,88,100,3.13,CN,1600396335
137,Lebu,-37.62,-73.65,48.43,83,1,13.06,CL,1600396335
138,Okhotsk,59.38,143.3,55.72,42,0,3.24,RU,1600396336
139,Ilulissat,69.22,-51.1,30.2,54,1,2.24,GL,1600396161
140,Saint Anthony,45.02,-93.22,51.8,75,1,5.7,US,1600396336
141,Ixtapa,20.7,-105.2,78.8,94,90,3.36,MX,1600396234
142,Roald,62.58,6.13,59.0,72,100,19.46,NO,1600396337
143,Batagay,67.63,134.63,53.11,49,13,2.04,RU,1600396337
144,Upernavik,72.79,-56.15,29.62,90,5,7.65,GL,1600396337
145,Xining,36.62,101.77,59.04,37,0,2.75,CN,1600396337
146,Berbera,10.44,45.01,89.02,59,0,1.23,SO,1600396338
147,Kruisfontein,-34.0,24.73,48.94,87,0,4.59,ZA,1600396338
148,Angoche,-16.23,39.91,68.81,91,9,1.5,MZ,1600396338
149,San Patricio,19.22,-104.7,79.16,80,100,1.79,MX,1600396338
150,Kavieng,-2.57,150.8,84.18,74,99,8.05,PG,1600396339
151,Bluff,-46.6,168.33,51.01,76,100,24.0,NZ,1600396339
152,Pisco,-13.7,-76.22,60.8,87,40,9.17,PE,1600396339
153,Abadan,38.05,58.21,55.4,50,0,2.24,TM,1600396340
154,Nan,18.83,100.67,82.4,88,40,4.7,TH,1600396340
155,Quelimane,-17.88,36.89,73.4,94,20,13.87,MZ,1600396340
156,Jacobina,-11.18,-40.52,64.35,87,11,4.12,BR,1600396341
157,Qaanaaq,77.48,-69.36,19.24,88,77,8.9,GL,1600396341
158,Mahanje,-9.93,35.33,60.03,82,2,3.49,TZ,1600396341
159,Sumbe,-11.21,13.84,70.39,89,87,2.86,AO,1600396341
160,Sokoni,-6.43,39.55,73.4,94,20,3.36,TZ,1600396342
161,Sisophon,13.59,102.97,77.72,89,100,10.18,KH,1600396342
162,Andenes,69.31,16.12,44.6,100,100,20.8,NO,1600396342
163,Portland,45.52,-122.68,71.6,68,75,3.29,US,1600395684
164,Rudnogorsk,57.26,103.75,56.28,54,0,6.29,RU,1600396343
165,Bandarbeyla,9.49,50.81,77.23,76,93,23.8,SO,1600396343
166,Ust-Tsilma,65.44,52.15,36.84,82,83,2.57,RU,1600396343
167,Vanimo,-2.67,141.3,87.01,60,45,8.5,PG,1600396343
168,Port Hedland,-20.32,118.57,84.2,16,0,14.99,AU,1600396344
169,New Norfolk,-42.78,147.06,59.0,54,0,1.01,AU,1600396344
170,Naivasha,-0.72,36.44,51.01,89,41,4.21,KE,1600396344
171,Mazyr,52.05,29.25,47.12,72,9,15.43,BY,1600396344
172,Praia da Vitória,38.73,-27.07,70.0,94,75,9.89,PT,1600396112
173,Saint George,37.1,-113.58,91.4,8,1,6.93,US,1600396231
174,Narsaq,60.92,-46.05,44.6,70,100,5.82,GL,1600396345
175,Norman Wells,65.28,-126.83,57.2,54,40,5.82,CA,1600396136
176,Saint-Augustin,51.23,-58.65,41.86,62,19,7.25,CA,1600396345
177,Acarí,-15.43,-74.62,60.8,66,34,2.35,PE,1600396346
178,Souillac,-20.52,57.52,69.8,77,75,13.87,MU,1600396346
179,Fort Frances,48.6,-93.4,33.01,74,1,4.27,CA,1600396346
180,Dudinka,69.41,86.18,50.0,93,40,11.18,RU,1600396346
181,Atar,20.52,-13.05,94.28,14,0,9.84,MR,1600396347
182,Saskylakh,71.92,114.08,56.35,58,0,11.1,RU,1600396347
183,Ville-Marie,47.33,-79.43,39.2,69,75,4.7,CA,1600396211
184,Saint-Philippe,-21.36,55.77,68.0,59,42,8.05,RE,1600396347
185,Hobyo,5.35,48.53,76.32,87,0,17.6,SO,1600396193
186,Béboto,8.27,16.94,69.89,97,100,3.27,TD,1600396348
187,Dalvik,65.97,-18.53,50.0,61,20,11.41,IS,1600396348
188,Departamento de Maldonado,-34.67,-54.92,62.6,59,1,9.17,UY,1600396230
189,Uruaçu,-14.52,-49.14,77.56,30,31,1.95,BR,1600396349
190,Nhamundá,-2.19,-56.71,79.45,63,3,0.45,BR,1600396349
191,Bambous Virieux,-20.34,57.76,71.01,77,75,13.87,MU,1600396349
192,Polovinnoye,54.79,65.99,47.57,86,97,13.71,RU,1600396349
193,Tura,25.52,90.22,79.29,93,38,1.39,IN,1600396349
194,Emba,48.83,58.14,48.83,75,1,4.72,KZ,1600396225
195,Pangnirtung,66.15,-65.71,33.93,78,4,5.26,CA,1600396122
196,Egvekinot,66.32,-179.17,38.55,74,92,9.86,RU,1600396350
197,Tsimmerbude,54.67,20.13,55.4,66,40,13.42,RU,1600396350
198,Vikevåg,59.1,5.7,54.0,93,75,6.93,NO,1600396351
199,Victor Harbor,-35.57,138.62,64.99,77,100,1.01,AU,1600396351
200,Hong Kong,22.29,114.16,87.01,82,97,20.02,HK,1600396243
201,San Cristobal,7.77,-72.22,66.34,81,23,1.57,VE,1600396351
202,Evensk,61.95,159.23,50.97,46,23,9.75,RU,1600396351
203,Katsuura,35.13,140.3,89.6,62,75,28.86,JP,1600396352
204,Aswān,24.09,32.91,86.34,25,0,9.37,EG,1600396352
205,Gualaquiza,-3.4,-78.55,62.28,89,27,1.32,EC,1600396352
206,Torbay,47.67,-52.73,64.0,82,75,19.46,CA,1600396352
207,Istanbul,41.04,28.98,69.8,88,40,2.24,TR,1600396241
208,Marzuq,14.4,46.47,76.37,48,0,1.19,YE,1600396353
209,Beruwala,6.48,79.98,81.12,83,98,13.31,LK,1600396353
210,St. George's,12.06,-61.75,82.4,83,20,5.82,GD,1600396101
211,Los Llanos de Aridane,28.66,-17.92,71.6,73,85,6.93,ES,1600396353
212,Zhigansk,66.77,123.37,51.93,48,0,2.33,RU,1600396354
213,Akureyri,65.68,-18.09,50.0,61,20,11.41,IS,1600396354
214,Praia,14.92,-23.51,79.56,82,0,6.64,CV,1600396249
215,Santa Cruz de la Sierra,-17.8,-63.17,66.2,82,75,3.36,BO,1600396354
216,Ahipara,-35.17,173.17,57.61,80,100,16.62,NZ,1600396354
217,Lompoc,34.64,-120.46,64.99,88,20,8.05,US,1600396055
218,Makkah al Mukarramah,21.43,39.83,85.53,27,12,5.59,SA,1600396355
219,Tobermory,45.25,-81.67,52.93,58,0,19.91,CA,1600396355
220,Noumea,-22.28,166.46,82.4,58,75,13.87,NC,1600396289
221,Coyhaique,-45.58,-72.07,41.0,80,75,6.93,CL,1600396355
222,Sakaiminato,35.55,133.23,68.0,100,75,4.7,JP,1600396355
223,Manggar,-2.88,108.27,84.92,67,10,14.79,ID,1600396356
224,Kaeo,-35.1,173.78,57.99,3,100,11.99,NZ,1600396154
225,Biak,-0.91,122.88,84.2,59,59,2.8,ID,1600396356
226,Srednekolymsk,67.45,153.68,42.06,88,99,15.75,RU,1600396356
227,Lüderitz,-26.65,15.16,55.83,71,0,13.65,NA,1600396357
228,Taltal,-25.4,-70.48,57.97,64,18,4.27,CL,1600396184
229,Naze,28.37,129.48,86.0,84,75,9.17,JP,1600396357
230,Dembī Dolo,8.53,34.8,58.48,89,78,3.94,ET,1600396357
231,Manbij,36.53,37.95,68.0,77,0,1.12,SY,1600396357
232,Ostrovnoy,68.05,39.51,39.25,83,100,6.29,RU,1600396358
